inference_time (millisec),conf_scores,class_names,bboxes
188.37761878967285,"[93, 88, 83]","['person', 'person', 'person']","[[70, 101, 166, 302], [401, 152, 439, 275], [474, 144, 511, 273]]"
150.254487991333,"[94, 88]","['person', 'person']","[[73, 103, 166, 303], [398, 152, 438, 277]]"
297.19066619873047,[96],['person'],"[[74, 106, 165, 305]]"
156.0978889465332,"[97, 81]","['person', 'person']","[[65, 106, 161, 304], [298, 134, 350, 284]]"
152.754545211792,[95],['person'],"[[56, 107, 156, 302]]"
202.789306640625,[85],['person'],"[[64, 107, 151, 300]]"
168.80059242248535,[87],['person'],"[[61, 103, 144, 300]]"
162.3835563659668,[83],['person'],"[[302, 150, 346, 281]]"
163.23113441467285,[],[],[]
156.74138069152832,[89],['person'],"[[241, 163, 282, 269]]"
159.50584411621094,[86],['person'],"[[241, 165, 280, 268]]"
156.7068099975586,[90],['person'],"[[239, 166, 278, 270]]"
157.59992599487305,[85],['person'],"[[237, 167, 273, 271]]"
152.41336822509766,[],[],[]
157.82928466796875,[],[],[]
166.92399978637695,[],[],[]
159.1944694519043,[],[],[]
156.04233741760254,[87],['person'],"[[271, 178, 308, 274]]"
154.82044219970703,"[87, 83, 81]","['person', 'person', 'person']","[[267, 182, 305, 277], [513, 168, 545, 259], [12, 109, 97, 302]]"
154.16193008422852,"[87, 82, 80]","['person', 'person', 'person']","[[511, 166, 545, 259], [10, 110, 94, 303], [333, 145, 379, 287]]"
154.63495254516602,"[90, 83]","['person', 'person']","[[510, 165, 544, 259], [13, 105, 90, 302]]"
167.0541763305664,"[89, 86, 81]","['person', 'person', 'person']","[[11, 105, 89, 301], [511, 166, 543, 259], [210, 167, 249, 273]]"
153.86438369750977,"[88, 84, 81]","['person', 'person', 'person']","[[9, 108, 80, 300], [509, 165, 542, 259], [207, 168, 244, 272]]"
209.42950248718262,"[83, 81]","['person', 'person']","[[509, 165, 542, 260], [6, 109, 72, 303]]"
147.00031280517578,[],[],[]
157.14311599731445,[80],['person'],"[[204, 168, 240, 267]]"
154.33049201965332,[],[],[]
207.70931243896484,[86],['person'],"[[505, 163, 542, 260]]"
148.42844009399414,[87],['person'],"[[505, 164, 543, 261]]"
286.9300842285156,[89],['person'],"[[503, 163, 546, 261]]"
185.64701080322266,[88],['person'],"[[498, 160, 544, 260]]"
159.98411178588867,[92],['person'],"[[497, 161, 545, 260]]"
157.28378295898438,[89],['person'],"[[497, 163, 544, 262]]"
159.0559482574463,[],[],[]
152.96268463134766,[88],['person'],"[[170, 170, 208, 265]]"
162.43529319763184,[89],['person'],"[[168, 171, 203, 265]]"
170.23396492004395,[84],['person'],"[[369, 133, 427, 285]]"
160.2492332458496,[91],['person'],"[[369, 137, 423, 282]]"
160.86435317993164,[82],['person'],"[[367, 136, 415, 281]]"
160.6004238128662,[82],['person'],"[[296, 118, 349, 285]]"
160.6619358062744,"[83, 82]","['person', 'person']","[[295, 116, 345, 286], [436, 158, 477, 266]]"
160.85505485534668,[89],['person'],"[[438, 160, 480, 264]]"
160.4478359222412,[93],['person'],"[[440, 158, 480, 265]]"
163.54990005493164,"[87, 86, 84]","['person', 'person', 'person']","[[441, 159, 476, 264], [485, 159, 521, 262], [404, 139, 447, 271]]"
223.58083724975586,"[89, 87]","['person', 'person']","[[486, 162, 520, 263], [443, 156, 478, 262]]"
152.9068946838379,"[86, 85, 85, 82]","['person', 'person', 'person', 'person']","[[445, 158, 479, 267], [337, 139, 384, 282], [485, 162, 517, 264], [401, 138, 447, 277]]"
157.06706047058105,"[90, 90, 86, 84]","['person', 'person', 'person', 'person']","[[334, 140, 380, 281], [400, 147, 448, 278], [480, 157, 515, 263], [133, 167, 178, 265]]"
159.592866897583,"[96, 89, 87]","['person', 'person', 'person']","[[470, 156, 511, 264], [402, 148, 454, 279], [331, 141, 377, 282]]"
153.3646583557129,"[96, 83, 81]","['person', 'person', 'person']","[[467, 155, 512, 265], [404, 138, 456, 273], [330, 140, 375, 282]]"
154.4945240020752,"[95, 82]","['person', 'person']","[[463, 156, 510, 265], [406, 138, 459, 272]]"
155.1508903503418,[96],['person'],"[[465, 155, 507, 263]]"
161.78154945373535,[91],['person'],"[[463, 154, 503, 268]]"
162.88208961486816,[97],['person'],"[[465, 156, 513, 267]]"
285.2914333343506,[96],['person'],"[[470, 154, 512, 269]]"
192.50988960266113,[95],['person'],"[[476, 155, 515, 270]]"
