inference_time,conf_scores,class_names,bboxes
4.707244634628296,"[100, 100, 100, 100, 100, 100, 98, 98, 97, 92, 90, 86]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[563, 168, 593, 251], [84, 162, 133, 275], [530, 155, 564, 265], [405, 92, 463, 294], [359, 128, 426, 289], [128, 134, 168, 281], [471, 169, 503, 259], [614, 139, 639, 275], [517, 205, 533, 252], [158, 189, 176, 262], [174, 190, 187, 218], [460, 176, 489, 263]]"
2.9790194034576416,"[100, 100, 100, 100, 100, 99, 98, 98, 92, 89, 87]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[562, 167, 593, 251], [88, 165, 134, 274], [529, 154, 562, 264], [128, 135, 180, 279], [352, 128, 413, 287], [401, 97, 461, 290], [612, 142, 638, 274], [517, 206, 533, 251], [174, 190, 187, 225], [457, 193, 486, 263], [469, 170, 495, 236]]"
3.46232271194458,"[100, 100, 100, 100, 99, 99, 98, 97, 96, 94, 90, 81]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[563, 167, 593, 251], [528, 155, 563, 263], [128, 134, 188, 280], [352, 126, 411, 292], [93, 165, 136, 272], [395, 93, 457, 287], [517, 206, 533, 252], [457, 196, 485, 264], [608, 153, 638, 270], [175, 190, 188, 226], [468, 170, 492, 226], [455, 165, 474, 205]]"
3.5501060485839844,"[100, 100, 100, 100, 100, 100, 98, 96, 93, 92, 89, 85]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[131, 134, 189, 279], [564, 167, 594, 251], [346, 127, 410, 291], [528, 155, 562, 264], [396, 92, 456, 293], [103, 159, 141, 275], [518, 206, 532, 252], [603, 144, 639, 272], [453, 165, 489, 244], [175, 189, 188, 229], [166, 193, 185, 234], [455, 194, 484, 264]]"
3.830563545227051,"[100, 100, 100, 100, 100, 99, 99, 95, 95, 92, 85, 85]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'skateboard', 'person']","[[130, 135, 187, 280], [564, 166, 596, 251], [342, 124, 405, 288], [390, 95, 456, 291], [526, 156, 561, 262], [590, 135, 640, 274], [110, 160, 143, 272], [452, 174, 483, 264], [518, 203, 531, 253], [168, 191, 187, 235], [361, 279, 390, 296], [462, 168, 485, 205]]"
2.7212259769439697,"[100, 100, 100, 100, 100, 100, 99, 98, 95, 94, 93, 89]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'skateboard', 'person', 'horse']","[[129, 136, 189, 280], [337, 125, 399, 289], [565, 167, 599, 251], [584, 141, 640, 274], [385, 91, 449, 291], [524, 155, 564, 259], [115, 160, 147, 276], [446, 167, 482, 262], [170, 190, 189, 235], [357, 280, 388, 298], [517, 206, 532, 252], [276, 210, 352, 293]]"
2.7962663173675537,"[100, 100, 100, 100, 100, 99, 97, 97, 96, 94, 87, 86, 85]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'skateboard', 'person', 'person', 'person', 'person']","[[124, 135, 190, 281], [333, 127, 395, 295], [381, 96, 452, 294], [581, 136, 639, 275], [566, 167, 600, 250], [523, 155, 560, 261], [118, 162, 148, 274], [454, 192, 480, 263], [354, 281, 388, 298], [172, 190, 189, 234], [454, 166, 479, 205], [445, 161, 474, 206], [548, 185, 567, 253]]"
3.8837080001831055,"[100, 100, 100, 100, 100, 99, 96, 94, 86, 86, 83, 82, 81]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'person', 'person', 'person']","[[126, 134, 193, 281], [328, 128, 392, 291], [373, 97, 455, 295], [579, 139, 639, 277], [567, 167, 599, 249], [520, 154, 560, 263], [453, 184, 479, 262], [547, 185, 566, 253], [174, 189, 191, 235], [325, 224, 346, 269], [121, 154, 157, 274], [629, 125, 639, 162], [442, 161, 460, 226]]"
4.134284496307373,"[100, 100, 100, 100, 99, 99, 99, 90, 85, 84]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[128, 133, 195, 281], [321, 126, 388, 291], [373, 93, 446, 295], [568, 167, 599, 250], [578, 135, 639, 280], [517, 154, 566, 264], [440, 159, 480, 265], [547, 185, 567, 253], [123, 160, 155, 274], [271, 127, 377, 286]]"
2.4235899448394775,"[100, 100, 100, 99, 99, 99, 98, 95, 92, 90, 87, 84]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[368, 93, 445, 297], [318, 126, 385, 290], [133, 132, 198, 280], [568, 166, 598, 249], [576, 139, 638, 279], [507, 155, 562, 265], [448, 179, 478, 262], [545, 182, 569, 254], [620, 120, 640, 265], [126, 169, 159, 275], [436, 161, 458, 212], [267, 134, 376, 291]]"
2.623202085494995,"[100, 100, 99, 99, 99, 98, 96, 96, 92, 90, 82]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[315, 130, 382, 293], [136, 132, 201, 280], [503, 155, 561, 264], [365, 94, 424, 295], [569, 167, 597, 250], [617, 128, 640, 280], [580, 142, 624, 270], [445, 183, 477, 265], [546, 184, 570, 253], [128, 157, 167, 277], [435, 161, 459, 205]]"
3.0704879760742188,"[100, 100, 99, 99, 98, 97, 96, 94, 91, 80]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[312, 130, 381, 291], [129, 132, 206, 280], [363, 92, 421, 297], [615, 128, 639, 279], [505, 155, 551, 264], [574, 143, 624, 272], [440, 180, 477, 266], [542, 178, 570, 253], [570, 168, 594, 250], [428, 161, 464, 248]]"
4.09234356880188,"[100, 100, 99, 99, 99, 98, 98, 97, 92, 89]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[307, 129, 372, 292], [358, 90, 417, 298], [140, 132, 206, 281], [503, 156, 549, 265], [612, 125, 640, 280], [576, 143, 623, 273], [541, 176, 570, 255], [434, 175, 475, 263], [131, 211, 149, 271], [572, 168, 593, 249]]"
3.3291544914245605,"[100, 100, 100, 99, 99, 99, 98, 94, 91, 88, 87, 80]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[352, 90, 408, 299], [306, 131, 369, 292], [147, 131, 206, 279], [500, 156, 545, 265], [575, 138, 631, 276], [540, 175, 568, 255], [609, 122, 639, 276], [133, 211, 154, 266], [428, 177, 471, 260], [244, 209, 313, 289], [132, 209, 153, 236], [427, 162, 447, 207]]"
